Animal_Species,Age_Months,Sex,Herd_Size,Vaccinated_FMD,Vaccinated_HS,Vaccinated_LSD,Vaccinated_BQ,Days_Since_Last_Vaccination,Recent_Treatment,Latitude,Longitude,Dist_Nearest_Outbreak_km,Dist_Waterbody_km,Temperature_C,Humidity_Percent,Rainfall_mm,Season,District_Outbreaks_30d,Symptom_Onset_Days,Sick_Animal_Count,Mortality_Count,Fever,Salivation,Blisters_Mouth_Teats,Lameness,Skin_Nodules,Udder_Swelling,Respiratory_Distress,Abnormal_Milk,Diarrhea,Bleeding_Orifices,Target_Disease,Triage_Risk_Level,Escalation_Required
Buffalo,12,Male,2,1,1,1,0,354,Dewormed,15.5908,76.3716,47.5,13.4,36.4,81.3,19.5,Monsoon,3,3,1,2,1,0,0,0,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,72,Male,37,1,0,1,0,224,Antibiotics,15.8257,73.4419,7.1,0.3,34.4,88.8,22.4,Post-Monsoon,2,5,2,2,0,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,72,Female,29,1,1,0,1,149,Dewormed,16.7422,73.3454,78.0,9.3,16.9,50.4,3.1,Monsoon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,45,Female,9,1,1,0,1,348,Antibiotics,16.6646,74.8228,7.4,9.6,30.2,87.7,17.8,Post-Monsoon,3,1,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,27,Female,18,1,1,1,0,137,Dewormed,27.8213,79.4391,93.2,3.6,20.1,51.6,1.3,Monsoon,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Healthy,Low,0
Buffalo,22,Male,12,1,1,0,0,311,Antibiotics,19.3868,83.7958,30.6,3.7,45.3,81.2,14.3,Post-Monsoon,3,4,3,1,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,61,Female,3,0,0,1,1,221,Supportive Care,21.2548,79.3911,3.1,5.1,29.8,62.2,0.1,Summer,1,4,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,98,Male,12,1,0,1,1,166,Untreated,18.064,80.6051,45.4,4.8,28.8,76.8,56.4,Monsoon,6,5,4,0,0,0,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,46,Female,5,1,1,0,1,195,Untreated,21.9743,77.5459,23.1,9.1,24.1,93.5,13.3,Post-Monsoon,4,5,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,70,Female,3,0,1,0,0,273,Untreated,26.8389,74.4737,12.2,2.6,27.5,76.6,15.6,Post-Monsoon,3,1,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,49,Female,5,1,1,0,1,105,Untreated,27.4939,74.784,21.0,1.4,33.6,63.4,28.0,Post-Monsoon,3,4,1,0,1,0,0,0,1,0,0,0,0,1,Lumpy_Skin_Disease,Moderate,0
Buffalo,108,Male,3,1,1,1,0,164,Antibiotics,17.8856,75.7729,33.8,0.4,37.3,66.1,33.5,Monsoon,2,1,2,1,1,0,0,1,0,0,0,0,0,1,Black_Quarter,High,1
Buffalo,17,Male,13,0,1,0,0,38,Dewormed,22.1766,78.2335,15.1,14.2,29.9,91.3,21.7,Post-Monsoon,3,4,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,54,Male,4,1,1,1,0,305,Dewormed,23.2303,78.9313,28.9,12.6,27.6,77.4,15.6,Monsoon,3,2,3,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,16,Female,3,0,1,1,1,275,Supportive Care,20.6528,75.9568,41.0,12.0,32.1,82.1,46.6,Monsoon,3,1,2,2,1,1,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,21,Female,12,1,1,1,1,358,Untreated,24.5033,75.3112,6.2,6.4,26.9,64.6,35.6,Post-Monsoon,2,2,1,0,0,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
Buffalo,79,Female,3,1,0,1,1,294,Untreated,24.9734,77.8232,24.3,9.4,29.7,81.2,40.4,Monsoon,6,6,2,1,1,1,0,0,0,1,1,1,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,38,Male,3,1,1,1,0,59,Untreated,17.2949,75.6458,9.7,11.7,34.8,67.5,11.8,Monsoon,1,4,2,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,111,Female,8,0,0,0,1,224,Antibiotics,18.3768,81.681,25.0,1.3,33.3,80.4,61.8,Monsoon,2,1,2,0,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,60,Female,24,0,1,1,0,83,Antibiotics,17.9721,83.9044,0.6,8.4,32.9,43.0,8.5,Monsoon,2,1,4,0,1,1,0,1,0,0,0,0,0,0,FMD,High,1
Cow,69,Female,4,1,1,0,1,342,Untreated,27.6554,84.6265,37.6,2.0,30.1,83.8,24.0,Post-Monsoon,1,1,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,61,Female,3,1,1,1,0,288,Antibiotics,19.1697,81.6931,37.4,3.1,17.5,73.9,39.9,Monsoon,5,3,1,0,1,0,0,0,1,1,0,1,0,0,Mastitis,Moderate,0
Cow,23,Female,19,1,0,0,1,112,Dewormed,27.6711,81.6627,33.0,11.4,21.3,81.2,6.1,Post-Monsoon,5,5,2,0,1,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
Buffalo,60,Male,5,0,1,1,1,357,Untreated,27.1576,84.3682,31.5,11.8,26.3,29.4,1.3,Monsoon,6,4,2,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,56,Female,3,1,1,1,1,44,Dewormed,17.2645,84.5294,21.1,12.7,38.1,78.6,13.2,Post-Monsoon,6,2,2,0,1,1,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,75,Female,6,1,0,1,0,355,Dewormed,23.5376,76.9023,38.8,2.1,27.9,54.5,28.6,Monsoon,3,3,4,0,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,44,Female,2,0,0,1,1,189,Dewormed,19.11,79.0868,2.6,2.3,30.9,73.9,62.4,Monsoon,2,1,1,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,104,Female,3,0,0,0,1,61,Supportive Care,27.1023,81.2743,34.0,3.3,35.3,83.9,28.4,Monsoon,3,6,2,0,1,1,0,0,0,0,0,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,11,Female,51,0,1,1,1,331,Antibiotics,22.7543,79.5482,22.5,0.3,27.0,81.5,11.1,Post-Monsoon,3,3,3,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,114,Female,1,1,1,1,1,36,Antibiotics,18.9948,82.6363,27.2,4.7,26.5,71.7,29.1,Monsoon,3,3,1,0,1,1,0,0,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,83,Female,17,1,1,0,1,44,Supportive Care,18.0793,82.3663,14.1,12.4,29.2,84.6,19.2,Post-Monsoon,2,6,2,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,72,Female,3,0,1,1,0,229,Antibiotics,22.519,76.2899,4.4,1.4,39.8,31.6,2.7,Monsoon,3,1,2,0,1,0,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,65,Female,12,1,0,0,0,151,Untreated,15.0161,76.6102,49.1,7.2,27.0,88.6,19.8,Post-Monsoon,1,3,4,0,0,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,90,Female,8,0,0,1,1,42,Supportive Care,21.4605,84.9059,42.6,3.2,21.1,64.1,3.9,Post-Monsoon,3,4,4,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,97,Female,18,1,1,0,1,74,Supportive Care,16.7572,84.5574,27.7,14.5,27.4,79.2,22.4,Post-Monsoon,3,1,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,30,Female,5,1,0,0,1,118,Antibiotics,20.2624,80.8489,18.0,7.9,22.6,77.4,39.8,Monsoon,2,5,4,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,21,Female,4,0,1,1,1,193,Dewormed,20.9728,82.4202,44.7,14.3,19.0,68.7,9.3,Monsoon,4,3,2,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,108,Female,7,1,0,1,1,43,Dewormed,25.0705,80.9364,26.7,2.7,15.9,55.9,13.3,Winter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Healthy,Low,0
Buffalo,36,Male,1,1,0,0,1,190,Supportive Care,22.7809,74.1401,19.1,8.3,31.0,70.4,26.9,Summer,2,1,1,0,0,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,62,Male,49,0,1,1,1,216,Untreated,16.9588,77.1086,21.0,11.4,26.8,64.0,12.7,Monsoon,2,6,2,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,71,Female,15,1,1,0,1,250,Untreated,24.7441,82.1041,34.1,11.4,31.6,72.4,25.3,Post-Monsoon,3,5,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,94,Male,2,0,1,1,1,200,Antibiotics,27.7656,75.5181,41.3,7.9,39.7,62.5,10.1,Post-Monsoon,1,4,1,2,1,0,0,1,0,0,0,0,1,0,Black_Quarter,High,1
Buffalo,48,Male,17,0,1,1,0,348,Untreated,19.8999,78.5408,24.3,6.6,28.9,88.5,35.4,Post-Monsoon,3,1,4,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,94,Female,15,1,1,0,0,117,Supportive Care,21.9215,77.9331,17.7,13.5,31.1,66.5,26.0,Post-Monsoon,0,1,4,0,1,0,0,1,0,0,0,0,0,1,Black_Quarter,High,1
Buffalo,69,Female,18,1,1,1,1,147,Supportive Care,22.066,73.9807,23.2,7.3,33.4,72.0,10.0,Post-Monsoon,4,1,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,68,Female,16,1,1,1,0,284,Antibiotics,18.6716,77.6887,40.0,5.6,32.3,83.7,12.1,Monsoon,2,4,1,0,1,1,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,27,Male,5,1,1,1,1,85,Untreated,19.0711,82.5831,97.1,12.9,36.2,76.2,12.0,Winter,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Healthy,Low,0
Buffalo,118,Female,12,0,0,1,1,129,Supportive Care,16.4683,74.0462,36.1,6.4,32.2,75.8,7.3,Post-Monsoon,4,4,1,0,0,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,97,Female,39,1,0,0,0,201,Supportive Care,16.4429,78.3647,23.3,13.0,31.7,63.2,10.2,Monsoon,3,2,4,2,1,0,1,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,90,Female,2,0,1,1,1,240,Dewormed,17.9426,81.763,30.1,1.1,28.1,56.1,11.3,Monsoon,6,5,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,54,Male,16,1,1,1,1,51,Supportive Care,25.2544,80.6753,34.0,2.1,22.3,78.4,34.1,Winter,3,6,2,0,0,1,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,118,Female,11,0,1,0,1,187,Supportive Care,20.1584,73.5327,14.3,12.3,31.3,78.2,27.7,Post-Monsoon,5,3,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,57,Female,4,1,1,1,1,349,Dewormed,20.4463,82.0141,4.0,1.3,38.9,62.9,45.3,Monsoon,5,3,2,0,1,1,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,110,Female,2,0,0,0,0,999,Antibiotics,18.9821,82.4678,22.6,12.0,29.2,84.9,27.6,Post-Monsoon,6,5,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,84,Female,2,0,0,1,1,63,Antibiotics,16.2909,75.5064,46.3,6.3,19.2,53.5,0.4,Post-Monsoon,2,4,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,101,Female,32,1,0,1,0,355,Antibiotics,25.799,79.5379,8.7,8.8,21.1,75.2,79.7,Monsoon,3,2,3,1,1,0,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,40,Female,10,1,1,1,1,208,Dewormed,27.7528,78.8009,87.7,8.9,20.8,66.8,12.8,Monsoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,92,Female,26,1,1,0,1,350,Supportive Care,15.2485,78.7221,34.5,10.9,34.2,83.8,29.5,Post-Monsoon,2,4,4,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,37,Female,8,0,1,0,1,305,Dewormed,22.5015,81.3731,0.8,1.6,30.8,83.1,15.3,Winter,4,4,3,0,1,0,0,0,0,1,0,1,1,0,Mastitis,Moderate,0
Buffalo,86,Female,3,1,1,1,0,357,Untreated,24.2814,82.8704,40.3,8.3,15.4,48.6,2.3,Winter,3,5,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,21,Female,4,1,1,1,1,345,Untreated,23.7768,74.3923,2.6,8.5,21.2,60.2,4.1,Summer,4,3,3,0,1,0,1,1,0,0,0,0,0,0,FMD,High,1
Cow,37,Female,31,0,1,1,1,67,Supportive Care,25.3511,82.0483,2.3,6.0,37.7,78.7,30.0,Post-Monsoon,4,5,3,0,1,0,1,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,72,Male,1,1,1,1,1,40,Supportive Care,26.1427,79.9043,4.3,5.8,26.0,71.2,43.4,Post-Monsoon,2,2,1,0,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,90,Female,5,1,1,1,1,307,Untreated,21.8996,80.8115,32.4,8.5,34.3,99.7,59.8,Monsoon,6,5,3,1,1,1,0,0,0,0,0,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,66,Female,5,0,1,0,1,341,Untreated,22.1092,75.1637,23.2,8.5,20.1,41.1,13.8,Post-Monsoon,4,6,4,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Cow,50,Female,33,1,0,1,0,358,Dewormed,23.328,80.9992,8.6,8.5,13.0,77.5,38.4,Summer,2,5,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,111,Male,11,0,1,1,1,81,Untreated,27.9017,77.6359,28.9,6.3,30.4,73.5,30.5,Winter,4,2,3,0,0,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,32,Female,2,1,0,1,1,311,Untreated,23.2686,77.3723,15.1,13.2,25.7,90.7,45.9,Monsoon,1,2,1,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,88,Female,15,0,0,1,0,205,Untreated,26.0295,78.0716,15.5,4.9,26.3,91.1,21.2,Monsoon,3,4,3,0,1,0,0,0,0,1,1,1,0,0,Mastitis,Moderate,0
Buffalo,118,Female,8,0,1,1,0,231,Untreated,24.2862,78.5406,92.9,10.4,17.3,33.0,11.3,Post-Monsoon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,45,Female,11,0,1,1,1,199,Untreated,21.9458,79.4888,21.8,4.7,27.6,71.7,10.9,Winter,3,4,3,0,1,0,1,1,0,0,0,0,0,0,FMD,High,1
Cow,106,Female,2,0,1,1,1,34,Untreated,20.626,81.2253,17.0,0.9,36.9,64.4,30.1,Post-Monsoon,5,1,1,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,17,Female,4,1,0,1,1,93,Dewormed,17.2374,84.1063,3.9,6.5,27.7,77.5,7.4,Monsoon,2,1,2,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,86,Female,12,0,0,0,1,101,Antibiotics,24.6123,75.576,33.4,7.5,31.6,99.1,51.5,Monsoon,3,6,1,2,0,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,99,Female,13,0,1,1,0,113,Dewormed,22.0753,75.4034,31.0,11.2,40.9,75.4,38.0,Monsoon,2,6,4,2,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,72,Female,5,1,1,1,0,197,Supportive Care,18.6535,81.5555,1.1,6.2,34.2,77.2,41.5,Monsoon,3,3,1,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,88,Female,12,0,1,0,0,293,Supportive Care,19.4822,78.5421,21.0,0.3,30.7,88.2,18.8,Post-Monsoon,3,5,4,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,54,Female,1,1,0,1,1,325,Antibiotics,24.8002,83.4576,34.1,6.2,33.4,86.3,37.8,Monsoon,3,5,1,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,113,Female,2,0,1,0,1,290,Untreated,26.3642,75.4412,6.8,4.4,32.1,81.6,17.8,Post-Monsoon,4,5,1,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,79,Male,4,0,1,1,1,361,Supportive Care,27.0807,77.5507,41.7,12.7,30.1,26.3,14.5,Post-Monsoon,2,1,2,0,1,0,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,72,Female,9,1,0,0,1,251,Untreated,24.2661,77.6345,29.6,2.9,24.5,84.4,21.9,Post-Monsoon,7,2,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,115,Female,12,0,1,0,0,303,Dewormed,22.2454,73.4678,33.5,4.9,32.6,85.3,12.9,Summer,7,6,1,0,1,0,0,0,0,1,0,1,0,1,Mastitis,Moderate,0
Buffalo,16,Female,28,1,1,1,1,328,Untreated,27.1994,77.9778,20.4,5.9,34.5,73.2,49.9,Monsoon,1,1,3,0,1,0,1,0,0,1,1,0,0,1,Anthrax,Critical,1
Buffalo,21,Female,10,1,1,1,1,184,Dewormed,22.2109,81.9735,40.6,6.3,32.2,75.6,31.1,Monsoon,1,4,4,0,0,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,114,Female,1,1,1,0,1,164,Untreated,26.4526,83.595,33.1,3.2,35.7,88.8,26.0,Post-Monsoon,4,1,1,0,1,0,0,0,1,0,0,0,1,0,Lumpy_Skin_Disease,Moderate,0
Cow,9,Female,12,0,1,1,1,254,Supportive Care,27.8089,74.9923,6.2,0.2,24.8,66.8,12.7,Summer,1,3,3,0,0,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,8,Female,5,1,0,1,1,31,Antibiotics,15.5845,74.5163,28.3,11.5,31.6,97.0,29.4,Monsoon,1,4,4,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,80,Female,19,1,1,0,1,88,Untreated,17.3769,82.9085,14.6,13.9,33.8,67.4,14.9,Monsoon,3,2,2,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,15,Female,9,1,1,1,1,238,Antibiotics,27.2807,80.3193,93.2,11.8,28.1,45.3,3.3,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,86,Female,7,1,1,0,0,144,Antibiotics,15.645,81.6952,6.0,9.2,40.5,71.2,47.4,Post-Monsoon,1,1,1,1,1,0,0,1,0,0,1,0,0,0,Black_Quarter,High,1
Buffalo,50,Female,11,1,1,0,0,205,Supportive Care,27.3131,83.6183,37.1,4.2,33.3,73.1,19.1,Post-Monsoon,2,2,4,0,1,0,0,1,0,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,76,Female,4,1,1,1,0,341,Untreated,24.8003,79.9347,45.3,12.3,30.7,75.6,11.5,Post-Monsoon,1,4,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,81,Female,13,1,1,1,0,319,Untreated,17.8328,73.1821,29.3,1.7,31.9,75.9,37.6,Monsoon,6,3,2,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,17,Female,7,1,1,1,1,280,Supportive Care,27.8626,79.8932,7.3,10.4,26.7,71.2,30.9,Post-Monsoon,3,4,1,0,1,0,0,0,1,1,0,1,0,1,Mastitis,Moderate,0
Cow,11,Female,3,0,1,1,0,183,Untreated,15.8899,78.012,6.3,9.2,31.2,80.4,46.5,Monsoon,2,4,2,2,1,0,0,0,0,0,1,0,0,0,Black_Quarter,High,1
Cow,51,Female,1,1,0,1,1,123,Dewormed,19.0697,83.038,3.0,7.0,31.7,83.9,77.7,Monsoon,2,2,1,0,1,1,0,1,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,10,Female,14,1,1,1,1,114,Supportive Care,24.4688,77.1497,33.7,12.1,27.5,85.5,5.3,Post-Monsoon,5,6,2,0,1,0,0,0,0,1,1,1,1,0,Mastitis,Moderate,0
Buffalo,84,Male,28,0,0,1,1,58,Antibiotics,26.2893,84.1176,21.3,0.9,24.4,20.0,13.8,Monsoon,0,1,1,0,1,1,1,1,0,0,0,1,0,0,FMD,Moderate,0
Cow,9,Female,30,0,1,0,1,219,Antibiotics,17.5122,73.6067,31.5,4.4,20.9,75.1,0.6,Post-Monsoon,4,1,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,85,Female,9,0,0,1,0,161,Dewormed,20.1609,74.8758,37.0,5.5,27.2,88.6,29.0,Monsoon,2,5,4,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,118,Female,2,1,1,1,0,237,Untreated,23.4772,82.371,39.7,9.1,36.6,88.3,44.6,Monsoon,1,2,1,1,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,115,Female,4,1,0,0,1,45,Untreated,23.2079,78.1168,59.3,2.7,29.1,59.2,4.9,Post-Monsoon,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Healthy,Low,0
Buffalo,11,Female,2,0,1,1,1,273,Untreated,16.6611,78.3084,2.6,10.3,22.1,78.0,8.1,Summer,3,6,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,58,Female,11,0,0,1,0,211,Antibiotics,16.2564,75.1228,49.4,6.7,26.7,71.8,4.3,Summer,6,1,2,0,1,0,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,83,Female,5,1,1,1,0,237,Untreated,15.7413,74.2658,29.5,8.2,29.8,73.5,32.9,Post-Monsoon,3,3,3,1,1,1,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,34,Female,2,1,0,1,0,216,Untreated,18.2614,74.4454,29.4,14.5,30.0,95.3,63.8,Monsoon,1,5,1,2,1,0,1,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,24,Female,2,1,0,1,1,162,Dewormed,23.7831,73.457,31.2,10.5,18.1,34.7,1.7,Post-Monsoon,1,2,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,19,Female,17,1,0,0,1,57,Dewormed,26.3767,84.6513,9.3,10.9,35.9,81.3,25.7,Monsoon,0,6,1,0,0,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,72,Female,23,0,0,1,0,333,Dewormed,26.2618,74.9755,21.0,0.3,30.3,66.0,27.6,Post-Monsoon,1,3,1,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Cow,95,Female,8,0,0,1,0,201,Untreated,15.633,74.1761,2.7,2.9,11.9,71.1,9.4,Winter,2,4,4,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,39,Male,2,0,1,0,1,60,Dewormed,27.5814,79.5984,48.2,1.8,32.9,88.0,22.0,Post-Monsoon,2,6,1,0,1,0,0,0,1,0,0,0,0,1,Lumpy_Skin_Disease,Moderate,0
